title;office_id;office;otk;place_id;place;place_otk;region_id;region;region_otk;is_archive;cfo_type_id;guid
Подразделения ППК;1156;ЦО ИТ Беларусь;IT35;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1163;ЦО ИТ Ростов;IT31;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1254;ИТ  СЭКР;IT37;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1331;ИТ Отдел ТНСС Рязань;IT43;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1495;ИТ Группа разработки ПО;IT39;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1489;ОЦО КМС;OC03;2715;ОЦО КП;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1491;ОЦО ПГС;OC05;2715;ОЦО КП;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;952;ДВА КЦ;KC01;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;953;Персонал КЦ;KC02;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;955;Юридический отдел ППК;KC04;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;956;Отдел закупок КЦ;KC05;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;957;ТОП КЦ;KC06;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;958;Секретариат КЦ;KC07;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1004;Техническая Поддержка;MA13;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1005;Отдел Рекламы (маркетинга);MA14;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1099;СБ;SB02;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1273;Отдел стандартизации и автоматизации;KC15;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1275;СРТП ПГС;MA62;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1291;Отдел по работе с новыми регионами;OR01;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1332;СВР;KC16;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1396;ТП Служба качества;KC18;2255;Управляющая компания;;2245;КЦ ППК;;FALSE;;
